name,category,rating,address,subtypes,type
TUNQU NANGKRING,restaurants,4.7,"Jl. P. Mangkubumi, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55592","Pizza restaurant, Restaurant",kuliner
Depot Makan Surya꧋ꦣꦺꦥꦺꦴꦠ꧀ꦩꦏꦤ꧀ꦱꦸꦂꦪ,restaurants,4.6,"Jl. Kranggan No.82, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Breakfast restaurant,kuliner
nDalem Ngabean Resto,restoran jawa,4.5,"Jl. Ngadisuryan No.6, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Javanese restaurant, Hotel",kuliner
"Sego Telkem ""Mbak Nur""",warung nasi,4.6,"Jl. Wijilan No.8, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",Nasi restaurant,kuliner
Makanan Tradisional,restaurants,4.7,"Jl. Bumijo No.50 001, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Restaurant,kuliner
Mie Ayam Ibu Tumini Sari Rasa Jati Ayu,restaurants,4.5,"Jl. Imogiri Tim. No.187, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",Noodle shop,kuliner
Mahkota Chinese Restaurant,restaurants,4.5,"Jl. Pajeksan No.25, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Chinese restaurant, Noodle shop",kuliner
Jiwajawi Jogja,restaurants,4.5,"Jl. Tugu Gentong Jl. Fasco Village, Salakan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",Restaurant,kuliner
Gudeg Wijilan Bu Lies 2,restoran jawa,4.4,"Jl. Wijilan No.5, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Javanese restaurant, Restaurant",kuliner
Bedhot Resto,restaurants,4.2,"Sosrowijayan St GT1 No.58A, Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta 55271",Restaurant,kuliner
