name,category,rating,address,subtypes,type,price_estimate
KAVAANA TAJEM - Oleh Oleh Haji & Umroh 24 Jam,toko,4.9,"Jalan Raya Tajem Km 2, Panjen, Wedomartani, Ngemplak, Kenayan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Store,oleh_oleh,75000
"Oleh-oleh haji & umroh Kedai JSR Jogja Sedia Perlengkapan, Oleh-oleh haji/umrah, kurma, madu, makanan organik, herbal, dll",pusat perbelanjaan,4.9,"79MM+CRJ, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Shopping mall,oleh_oleh,75000
Dmollis Chocolate Oleh Oleh Jogja,chocolate artisan,4.9,"Gg. Intan No.28, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Chocolate artisan,oleh_oleh,75000
Oma Opa Cakery Jakal UII - Oleh-oleh Jogja,toko roti,5.0,"Kaliurang St No.Km.13, Candirejo, Sardonoharjo, Sleman, Sleman Regency, Special Region of Yogyakarta 55581",Bakery,oleh_oleh,75000
FENHAM - Toko Oleh-Oleh Haji Umroh Jogja,gift shop,4.9,"Jl. Pogung Raya No.171 B, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Gift shop, Souvenir store",oleh_oleh,75000
Bakpia Kukus Tugu Jogja - Jombor (Pusat Oleh-Oleh),toko roti,4.7,"Jl. Magelang No.Km 6, Jombor Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Bakery,oleh_oleh,50000
Seko Jogja oleh oleh,toko roti,5.0,"Jl. Kaliurang No.km6 5, RW.49, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Bakery,oleh_oleh,75000
Toko Oleh-oleh 2000,toko kue,5.0,"Jl. Raya Solo - Yogyakarta No.KM. 9, Karangploso, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Cake shop,oleh_oleh,75000
Rakuma - Oleh-Oleh Baru Khas Jogja - Olahan Buah Kurma,produsen makanan,5.0,"Jl. Hastina Gg. Madukoro VI No.85, Malangrejo, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Food manufacturer,oleh_oleh,75000
Lapis Sultan Jogja Pakuwon Mall | Oleh-Oleh Lapis Legit Premium,cake shop,5.0,"Pakuwon Mall, Jl. Ring Road Utara Kaliwaru 1st Floor, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Cake shop,oleh_oleh,75000
Craftown Jogja,toko suvenir,5.0,"Jl. Bima No.87A, Nglaban, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Souvenir store, Gift shop, Outlet mall, Shopping mall, Store",oleh_oleh,75000
Toko Oleh- Oleh Haji Umroh Sulthan,pusat perbelanjaan,4.9,"Ploso Kuning III, Minomartani, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Shopping mall,oleh_oleh,75000
Bakpia Kukus Tugu Jogja - Condongcatur,toko roti,4.9,"Jl. Raya Krangkungan, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Bakery,oleh_oleh,50000
Oleh-oleh khas jogja,restoran jawa,4.9,"695G+VRG, Jl. Lempuyangan, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55211",Javanese restaurant,oleh_oleh,50000
"PAIQU Pai Jogja, aneka olahan pie",pastry shop,4.9,"Candi Dukuh RT 01/ RW 03 No. 42, Candi Dukuh, Sardonoharno, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Pastry shop, Food producer, Pie shop",oleh_oleh,75000
Bakpia Adiagung,toko makanan,4.6,"Jl. Wahid Hasyim No.02, Pringgolayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Deli, Cake shop, Food manufacturer",oleh_oleh,25000
Bakpia Pathok Asatu,toko roti,5.0,"796G+6R5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Bakery,oleh_oleh,75000
